learner_id,question_id,question_type,subskill,difficulty_level,response_time,attempt_count,correct_or_incorrect,hint_requested,session_number,timestamp,error_pattern,repeated_mistake,simulated_progress
L001,Q-GRA-1-041,grammar,present perfect,easy,29.972,1,1,0,3,2025-01-16T12:17:00,,0,0.0643
L001,Q-REA-2-074,reading,dialogue,medium,58.254,3,0,0,3,2025-01-15T16:14:00,main-idea misinterpretation,0,0.0667
L001,Q-REA-1-069,reading,detail retrieval,easy,79.417,1,1,0,3,2025-01-16T17:38:00,,0,0.069
L001,Q-LIS-1-060,listening,chapter audio,medium,31.758,1,0,0,4,2025-01-19T10:09:00,dialogue detail omission,1,0.0714
L001,Q-REA-1-074,reading,dialogue,easy,26.768,2,0,1,4,2025-01-21T13:23:00,detail retrieval error,0,0.0738
L001,Q-GRA-1-060,grammar,cases,easy,35.089,1,1,0,4,2025-01-19T17:05:00,,0,0.0762
L001,Q-LIS-2-012,listening,slow dialogue,medium,67.599,1,1,0,4,2025-01-20T14:30:00,,0,0.0786
L001,Q-GRA-2-034,grammar,verb position,medium,33.508,1,0,0,4,2025-01-19T13:54:00,verb-position error,0,0.081
L001,Q-GRA-1-026,grammar,cases,easy,38.055,2,0,0,4,2025-01-20T15:09:00,case-marking error,0,0.0833
L001,Q-LIS-2-055,listening,dictation,medium,51.791,1,1,1,4,2025-01-20T17:04:00,,0,0.0857
L001,Q-VOC-2-073,vocabulary,false friends,medium,27.438,1,1,0,4,2025-01-18T11:35:00,,0,0.0881
L001,Q-VOC-2-068,vocabulary,articles,medium,21.334,1,0,0,4,2025-01-21T13:56:00,false-friend translation error,0,0.0905
L001,Q-LIS-1-002,listening,numbers,easy,51.771,2,1,1,5,2025-01-22T11:26:00,,0,0.0929
L001,Q-VOC-1-071,vocabulary,articles,easy,17.343,2,1,0,5,2025-01-23T16:51:00,,0,0.0952
L001,Q-VOC-2-044,vocabulary,separable verbs,medium,29.718,1,0,0,5,2025-01-23T17:13:00,false-friend translation error,0,0.0976
L001,Q-VOC-1-050,vocabulary,false friends,easy,22.109,1,1,0,5,2025-01-22T12:51:00,,0,0.1
L001,Q-LIS-1-048,listening,chapter audio,easy,71.112,1,1,0,5,2025-01-23T14:18:00,slow but correct response,0,0.1024
L001,Q-REA-1-028,reading,detail retrieval,easy,47.785,2,0,0,5,2025-01-23T10:09:00,instruction parsing error,0,0.1048
L001,Q-REA-1-042,reading,instructions,easy,57.472,2,1,0,5,2025-01-23T16:32:00,,0,0.1071
L001,Q-REA-1-026,reading,short passage,easy,69.882,2,0,0,5,2025-01-23T10:22:00,detail retrieval error,0,0.1095
L001,Q-GRA-1-062,grammar,modal verbs,easy,33.788,1,0,0,5,2025-01-24T09:05:00,case-marking error,0,0.1119
L001,Q-GRA-2-067,grammar,cases,medium,33.637,2,0,0,6,2025-01-27T13:02:00,case-marking error,0,0.1143
L001,Q-LIS-1-013,listening,slow dialogue,easy,26.667,1,1,0,6,2025-01-28T15:30:00,,0,0.1167
L001,Q-VOC-1-045,vocabulary,separable verbs,easy,19.262,1,0,0,6,2025-01-27T16:55:00,article-gender association error,0,0.119
L001,Q-LIS-2-030,listening,slow dialogue,medium,36.155,3,0,0,6,2025-01-26T09:11:00,phoneme discrimination error,0,0.1214
L001,Q-LIS-1-026,listening,chapter audio,easy,39.533,2,1,0,6,2025-01-25T10:43:00,,0,0.1238
L001,Q-GRA-1-023,grammar,modal verbs,easy,46.604,6,0,0,6,2025-01-25T15:51:00,modal-verb conjugation error,0,0.1262
L001,Q-LIS-2-053,listening,dictation,medium,74.348,2,1,1,6,2025-01-25T13:34:00,slow but correct response,0,0.1286
L001,Q-GRA-2-020,grammar,verb position,medium,50.707,5,0,1,6,2025-01-27T12:19:00,case-marking error,0,0.131
L001,Q-REA-1-060,reading,short passage,easy,51.039,1,0,0,6,2025-01-26T12:59:00,detail retrieval error,0,0.1333
L001,Q-REA-1-056,reading,detail retrieval,easy,69.858,1,1,0,6,2025-01-28T17:03:00,,0,0.1357
L001,Q-LIS-1-024,listening,chapter audio,easy,39.199,1,1,0,6,2025-01-27T13:02:00,,0,0.1381
L001,Q-LIS-3-043,listening,numbers,hard,29.792,3,0,1,7,2025-02-01T09:44:00,number misrecognition,0,0.1405
L001,Q-VOC-2-071,vocabulary,separable verbs,medium,13.544,3,0,0,7,2025-01-28T14:02:00,article-gender association error,0,0.1429
L001,Q-LIS-1-050,listening,chapter audio,easy,28.592,2,0,0,7,2025-01-30T09:32:00,phoneme discrimination error,0,0.1452
L001,Q-LIS-1-076,listening,numbers,easy,35.725,2,1,0,7,2025-01-30T17:57:00,,0,0.1476
L001,Q-GRA-1-009,grammar,modal verbs,easy,42.898,1,0,1,7,2025-01-28T17:38:00,modal-verb conjugation error,0,0.15
L001,Q-LIS-1-037,listening,numbers,easy,30.976,1,1,1,7,2025-01-29T13:02:00,,0,0.1524
L001,Q-GRA-1-024,grammar,verb position,easy,24.592,1,1,0,7,2025-01-29T10:00:00,,0,0.1548
L001,Q-GRA-1-035,grammar,verb position,easy,45.065,1,1,0,7,2025-01-29T12:00:00,,0,0.1571
L001,Q-GRA-1-009,grammar,verb position,medium,41.383,1,0,0,7,2025-01-30T17:23:00,modal-verb conjugation error,1,0.1595
L001,Q-VOC-1-008,vocabulary,separable verbs,easy,15.134,2,1,0,7,2025-02-01T14:07:00,,0,0.1619
L001,Q-LIS-1-062,listening,slow dialogue,easy,73.368,3,0,0,8,2025-02-03T17:51:00,dialogue detail omission,0,0.1643
L001,Q-REA-2-034,reading,dialogue,medium,31.264,1,1,0,8,2025-02-01T16:36:00,,0,0.1667
L001,Q-REA-1-060,reading,short passage,medium,37.929,1,0,0,8,2025-02-01T11:23:00,main-idea misinterpretation,1,0.169
L001,Q-VOC-3-046,vocabulary,separable verbs,hard,23.857,2,1,0,8,2025-02-02T17:04:00,,0,0.1714
L001,Q-VOC-2-024,vocabulary,articles,medium,28.745,1,1,0,8,2025-02-03T14:34:00,,0,0.1738
L001,Q-REA-2-062,reading,dialogue,medium,36.362,2,0,1,8,2025-02-02T12:13:00,instruction parsing error,0,0.1762
L001,Q-GRA-1-013,grammar,cases,easy,35.472,2,1,0,8,2025-02-01T15:08:00,,0,0.1786
L001,Q-LIS-2-059,listening,dictation,medium,21.124,2,0,0,8,2025-02-02T16:02:00,phoneme discrimination error,0,0.181
L001,Q-REA-3-008,reading,instructions,hard,95.14,1,1,0,8,2025-02-02T14:39:00,slow but correct response,0,0.1833
L001,Q-GRA-4-001,grammar,verb position,advanced,35.812,2,0,1,8,2025-02-03T11:59:00,case-marking error,0,0.1857
L001,Q-REA-1-016,reading,instructions,easy,46.926,2,1,0,9,2025-02-05T09:53:00,,0,0.1881
L001,Q-VOC-2-038,vocabulary,separable verbs,medium,22.138,1,0,1,9,2025-02-06T13:27:00,false-friend translation error,0,0.1905
L001,Q-GRA-2-071,grammar,modal verbs,medium,26.13,2,0,1,9,2025-02-04T10:14:00,case-marking error,0,0.1929
L001,Q-GRA-1-044,grammar,cases,easy,44.083,1,1,0,9,2025-02-06T16:37:00,,0,0.1952
L001,Q-GRA-2-049,grammar,modal verbs,medium,63.187,2,1,0,9,2025-02-05T17:28:00,slow but correct response,0,0.1976
L001,Q-REA-2-034,reading,short passage,medium,77.019,2,0,1,9,2025-02-05T13:46:00,instruction parsing error,0,0.2
L001,Q-VOC-2-063,vocabulary,false friends,medium,20.382,1,0,0,9,2025-02-07T10:11:00,article-gender association error,0,0.2024
L001,Q-VOC-2-014,vocabulary,articles,medium,28.302,1,1,0,9,2025-02-07T17:14:00,,0,0.2048
L001,Q-GRA-2-068,grammar,modal verbs,medium,39.505,2,1,1,10,2025-02-10T17:53:00,,0,0.2071
L001,Q-REA-3-005,reading,detail retrieval,hard,62.564,4,0,0,10,2025-02-09T10:54:00,detail retrieval error,0,0.2095
L001,Q-GRA-2-037,grammar,modal verbs,medium,42.179,3,0,0,10,2025-02-10T11:52:00,case-marking error,0,0.2119
L001,Q-REA-3-005,reading,dialogue,medium,34.768,5,0,0,10,2025-02-11T17:01:00,main-idea misinterpretation,1,0.2143
L001,Q-GRA-2-033,grammar,present perfect,medium,44.695,2,0,0,10,2025-02-10T14:49:00,verb-position error,0,0.2167
L001,Q-GRA-1-054,grammar,verb position,easy,23.255,1,1,0,10,2025-02-08T15:45:00,,0,0.219
L001,Q-REA-2-023,reading,detail retrieval,medium,56.659,2,1,0,10,2025-02-08T11:33:00,,0,0.2214
L001,Q-REA-2-049,reading,instructions,medium,71.839,1,1,0,10,2025-02-10T13:51:00,,0,0.2238
L001,Q-LIS-2-068,listening,dictation,medium,58.644,3,0,1,10,2025-02-09T17:35:00,dialogue detail omission,0,0.2262
L001,Q-LIS-2-019,listening,chapter audio,medium,30.361,2,0,1,10,2025-02-10T13:09:00,dialogue detail omission,0,0.2286
L001,Q-GRA-2-033,grammar,cases,hard,28.477,3,0,0,10,2025-02-08T10:02:00,verb-position error,1,0.231
L001,Q-LIS-1-033,listening,numbers,easy,35.078,2,1,0,10,2025-02-10T14:34:00,,0,0.2333
L001,Q-GRA-2-033,grammar,verb position,medium,32.843,3,0,0,11,2025-02-14T13:58:00,case-marking error,1,0.2357
L001,Q-REA-2-059,reading,instructions,medium,60.912,3,0,0,11,2025-02-14T15:03:00,instruction parsing error,0,0.2381
L001,Q-VOC-2-063,vocabulary,articles,medium,22.238,1,0,0,11,2025-02-12T09:51:00,false-friend translation error,1,0.2405
L001,Q-VOC-1-001,vocabulary,false friends,easy,18.673,2,1,0,11,2025-02-11T11:24:00,,0,0.2429
L001,Q-REA-1-044,reading,dialogue,easy,48.531,1,1,0,11,2025-02-13T15:38:00,,0,0.2452
L001,Q-GRA-2-033,grammar,modal verbs,easy,37.514,1,0,0,11,2025-02-13T10:35:00,case-marking error,1,0.2476
L001,Q-LIS-1-011,listening,slow dialogue,easy,41.356,3,1,0,11,2025-02-13T17:31:00,,0,0.25
L001,Q-REA-2-059,reading,detail retrieval,easy,43.083,3,0,0,11,2025-02-13T09:56:00,detail retrieval error,1,0.2524
L001,Q-REA-2-013,reading,detail retrieval,medium,41.175,1,0,1,11,2025-02-12T14:22:00,main-idea misinterpretation,0,0.2548
L001,Q-REA-2-067,reading,dialogue,medium,63.556,1,0,0,11,2025-02-12T11:42:00,instruction parsing error,0,0.2571
L001,Q-VOC-1-042,vocabulary,articles,easy,19.571,2,1,0,12,2025-02-16T10:35:00,,0,0.2595
L001,Q-GRA-2-022,grammar,verb position,medium,16.89,1,0,0,12,2025-02-15T09:57:00,modal-verb conjugation error,0,0.2619
L001,Q-LIS-2-019,listening,chapter audio,hard,56.011,4,0,0,12,2025-02-15T11:54:00,number misrecognition,1,0.2643
L001,Q-GRA-2-022,grammar,modal verbs,medium,41.636,1,0,0,12,2025-02-16T10:44:00,verb-position error,1,0.2667
L001,Q-REA-3-033,reading,instructions,hard,53.191,3,0,0,12,2025-02-16T11:57:00,detail retrieval error,0,0.269
L001,Q-LIS-2-028,listening,dictation,medium,59.063,1,1,0,12,2025-02-16T15:49:00,,0,0.2714
L001,Q-GRA-2-022,grammar,modal verbs,easy,49.307,3,0,1,12,2025-02-16T17:25:00,modal-verb conjugation error,1,0.2738
L001,Q-REA-2-020,reading,instructions,medium,52.396,3,0,1,12,2025-02-17T09:31:00,instruction parsing error,0,0.2762
L001,Q-VOC-2-020,vocabulary,separable verbs,medium,18.074,1,0,0,12,2025-02-17T14:12:00,false-friend translation error,0,0.2786
L001,Q-VOC-2-052,vocabulary,false friends,medium,30.719,2,0,1,13,2025-02-21T10:59:00,false-friend translation error,0,0.281
L001,Q-GRA-2-076,grammar,present perfect,medium,23.416,2,1,0,13,2025-02-20T13:41:00,,0,0.2833
L001,Q-VOC-3-004,vocabulary,false friends,hard,22.761,1,1,0,13,2025-02-19T13:36:00,,0,0.2857
L001,Q-GRA-2-047,grammar,verb position,medium,75.81,2,1,0,13,2025-02-20T14:51:00,slow but correct response,0,0.2881
L001,Q-GRA-4-080,grammar,present perfect,advanced,39.839,3,0,1,13,2025-02-22T09:24:00,case-marking error,0,0.2905
L001,Q-REA-2-043,reading,short passage,medium,66.584,2,0,1,13,2025-02-19T17:43:00,main-idea misinterpretation,0,0.2929
L001,Q-REA-3-070,reading,detail retrieval,hard,35.604,6,0,0,13,2025-02-20T10:08:00,instruction parsing error,0,0.2952
L001,Q-GRA-2-029,grammar,verb position,medium,38.994,1,1,0,13,2025-02-21T09:46:00,,0,0.2976
L001,Q-VOC-1-031,vocabulary,false friends,easy,23.662,2,1,1,13,2025-02-20T13:38:00,,0,0.3
L001,Q-VOC-3-016,vocabulary,separable verbs,hard,27.205,4,0,1,14,2025-02-26T16:12:00,article-gender association error,0,0.3024
L001,Q-REA-3-070,reading,dialogue,medium,76.266,3,0,0,14,2025-02-24T14:52:00,main-idea misinterpretation,1,0.3048
L001,Q-LIS-2-016,listening,chapter audio,medium,39.472,2,0,0,14,2025-02-24T17:57:00,number misrecognition,0,0.3071
L001,Q-VOC-2-019,vocabulary,articles,medium,19.962,1,0,0,14,2025-02-23T13:16:00,vocabulary recall error,0,0.3095
L001,Q-LIS-2-035,listening,numbers,medium,49.345,3,0,0,14,2025-02-24T15:02:00,dialogue detail omission,0,0.3119
L001,Q-GRA-1-037,grammar,cases,easy,45.027,1,1,0,14,2025-02-23T15:35:00,,0,0.3143
L001,Q-VOC-1-032,vocabulary,false friends,easy,23.581,2,1,0,14,2025-02-23T11:37:00,,0,0.3167
L001,Q-LIS-2-039,listening,slow dialogue,medium,44.365,1,1,0,14,2025-02-23T12:48:00,,0,0.319
L001,Q-LIS-1-036,listening,slow dialogue,easy,34.707,1,1,0,14,2025-02-23T16:23:00,,0,0.3214
L001,Q-REA-2-020,reading,short passage,medium,52.505,1,1,0,14,2025-02-22T17:06:00,,0,0.3238
L001,Q-LIS-2-002,listening,slow dialogue,medium,20.674,5,0,1,14,2025-02-22T13:13:00,dialogue detail omission,0,0.3262
L001,Q-GRA-4-080,grammar,modal verbs,medium,43.772,5,0,0,14,2025-02-23T16:23:00,verb-position error,1,0.3286
L001,Q-LIS-1-018,listening,numbers,easy,26.657,1,1,0,14,2025-02-23T10:31:00,,0,0.331
L001,Q-VOC-2-019,vocabulary,articles,medium,19.49,3,0,1,14,2025-02-22T10:15:00,false-friend translation error,1,0.3333
L001,Q-VOC-1-035,vocabulary,separable verbs,easy,20.067,1,0,1,15,2025-02-28T16:30:00,false-friend translation error,0,0.3357
L001,Q-LIS-2-002,listening,slow dialogue,hard,46.778,2,0,1,15,2025-02-27T15:43:00,phoneme discrimination error,1,0.3381
L001,Q-REA-2-069,reading,instructions,medium,56.358,2,0,0,15,2025-02-28T17:18:00,main-idea misinterpretation,0,0.3405
L001,Q-VOC-2-017,vocabulary,daily verbs,medium,22.974,3,1,0,15,2025-02-27T11:28:00,,0,0.3429
L001,Q-LIS-2-002,listening,dictation,hard,56.855,3,0,0,15,2025-02-28T11:14:00,phoneme discrimination error,1,0.3452
L001,Q-VOC-2-008,vocabulary,daily verbs,medium,22.658,1,1,0,15,2025-02-28T14:34:00,,0,0.3476
L001,Q-LIS-2-036,listening,chapter audio,medium,22.711,1,0,0,15,2025-02-27T10:03:00,phoneme discrimination error,0,0.35
L001,Q-LIS-2-032,listening,dictation,medium,51.881,2,1,0,15,2025-02-27T13:05:00,,0,0.3524
L001,Q-REA-2-029,reading,short passage,medium,85.235,2,1,0,16,2025-03-03T14:44:00,slow but correct response,0,0.3548
L001,Q-REA-2-064,reading,instructions,medium,48.338,4,0,1,16,2025-03-02T12:01:00,main-idea misinterpretation,0,0.3571
L001,Q-REA-2-064,reading,dialogue,medium,49.516,1,0,0,16,2025-03-02T17:30:00,instruction parsing error,1,0.3595
L001,Q-VOC-2-060,vocabulary,daily verbs,medium,42.29,1,0,0,16,2025-03-02T11:04:00,false-friend translation error,0,0.3619
L001,Q-GRA-2-060,grammar,cases,medium,38.167,1,1,0,16,2025-03-02T09:31:00,,0,0.3643
L001,Q-REA-2-055,reading,short passage,medium,61.048,1,0,1,16,2025-03-01T12:25:00,detail retrieval error,0,0.3667
L001,Q-LIS-3-059,listening,numbers,hard,48.879,5,0,1,16,2025-03-01T09:36:00,phoneme discrimination error,0,0.369
L001,Q-LIS-2-064,listening,numbers,medium,30.923,2,1,1,16,2025-03-03T16:34:00,,0,0.3714
L001,Q-LIS-2-018,listening,chapter audio,medium,38.108,1,1,0,16,2025-03-04T13:00:00,,0,0.3738
L001,Q-REA-2-055,reading,dialogue,medium,38.373,2,0,1,17,2025-03-05T16:29:00,detail retrieval error,1,0.3762
L001,Q-VOC-2-077,vocabulary,articles,medium,29.759,4,0,0,17,2025-03-07T12:41:00,article-gender association error,0,0.3786
L001,Q-GRA-2-078,grammar,modal verbs,medium,22.725,1,1,0,17,2025-03-05T17:39:00,,0,0.381
L001,Q-REA-2-035,reading,dialogue,medium,47.005,1,1,0,17,2025-03-06T12:36:00,,0,0.3833
L001,Q-GRA-2-013,grammar,cases,medium,35.483,4,0,1,17,2025-03-06T15:08:00,verb-position error,0,0.3857
L001,Q-REA-3-028,reading,instructions,hard,69.222,2,0,0,17,2025-03-07T17:26:00,instruction parsing error,0,0.3881
L001,Q-LIS-2-077,listening,slow dialogue,medium,50.143,3,0,0,17,2025-03-07T16:16:00,number misrecognition,0,0.3905
L001,Q-GRA-2-013,grammar,modal verbs,medium,35.815,2,0,1,17,2025-03-05T11:17:00,case-marking error,1,0.3929
L001,Q-GRA-3-065,grammar,present perfect,hard,42.923,3,0,1,17,2025-03-07T14:38:00,verb-position error,0,0.3952
L001,Q-VOC-2-077,vocabulary,separable verbs,medium,18.585,4,0,1,18,2025-03-11T15:56:00,vocabulary recall error,1,0.3976
L001,Q-VOC-3-029,vocabulary,daily verbs,hard,25.391,5,0,1,18,2025-03-08T15:15:00,vocabulary recall error,0,0.4
L001,Q-VOC-2-007,vocabulary,separable verbs,medium,16.094,2,1,0,18,2025-03-09T10:35:00,,0,0.4024
L001,Q-REA-2-077,reading,detail retrieval,medium,41.404,1,0,0,18,2025-03-11T13:57:00,main-idea misinterpretation,0,0.4048
L001,Q-GRA-3-065,grammar,verb position,hard,51.254,3,0,0,18,2025-03-09T16:38:00,verb-position error,1,0.4071
L001,Q-LIS-1-014,listening,numbers,easy,28.327,3,0,0,18,2025-03-08T16:44:00,dialogue detail omission,0,0.4095
L001,Q-VOC-1-056,vocabulary,false friends,easy,16.315,1,1,1,18,2025-03-11T15:47:00,,0,0.4119
L001,Q-GRA-1-026,grammar,modal verbs,easy,42.373,2,1,0,18,2025-03-10T16:35:00,,0,0.4143
L001,Q-GRA-2-012,grammar,modal verbs,medium,37.938,1,1,0,18,2025-03-10T13:52:00,,0,0.4167
L001,Q-GRA-3-027,grammar,cases,hard,22.628,1,1,0,18,2025-03-10T14:51:00,,0,0.419
L001,Q-LIS-1-014,listening,slow dialogue,hard,51.13,2,0,0,18,2025-03-10T12:06:00,dialogue detail omission,1,0.4214
L001,Q-LIS-3-049,listening,chapter audio,hard,41.688,1,0,1,19,2025-03-13T17:49:00,dialogue detail omission,0,0.4238
L001,Q-LIS-3-027,listening,dictation,hard,57.629,3,0,1,19,2025-03-14T13:19:00,number misrecognition,0,0.4262
L001,Q-LIS-2-041,listening,dictation,medium,35.787,3,0,1,19,2025-03-11T11:19:00,dialogue detail omission,0,0.4286
L001,Q-GRA-3-043,grammar,verb position,hard,34.402,1,1,1,19,2025-03-13T13:09:00,,0,0.431
L001,Q-REA-3-025,reading,instructions,hard,45.068,1,1,0,19,2025-03-14T15:27:00,,0,0.4333
L001,Q-VOC-2-073,vocabulary,false friends,medium,30.089,1,1,0,19,2025-03-13T11:40:00,,0,0.4357
L001,Q-LIS-1-055,listening,numbers,easy,44.622,2,0,1,19,2025-03-14T12:07:00,dialogue detail omission,0,0.4381
L001,Q-LIS-2-061,listening,dictation,medium,41.494,1,1,0,19,2025-03-12T11:09:00,,0,0.4405
L001,Q-GRA-1-031,grammar,present perfect,easy,36.621,1,1,0,19,2025-03-14T12:09:00,,0,0.4429
L001,Q-REA-2-006,reading,detail retrieval,medium,53.454,4,0,0,20,2025-03-15T17:20:00,detail retrieval error,0,0.4452
L001,Q-LIS-2-054,listening,dictation,medium,38.684,1,1,0,20,2025-03-16T15:55:00,,0,0.4476
L001,Q-LIS-3-034,listening,dictation,hard,55.471,1,1,0,20,2025-03-17T16:44:00,,0,0.45
L001,Q-GRA-3-038,grammar,present perfect,hard,40.583,3,0,0,20,2025-03-17T15:01:00,verb-position error,0,0.4524
L001,Q-LIS-3-075,listening,dictation,hard,61.301,2,1,0,20,2025-03-16T13:44:00,,0,0.4548
L001,Q-GRA-2-046,grammar,cases,medium,32.047,2,0,1,20,2025-03-16T13:36:00,case-marking error,0,0.4571
L001,Q-GRA-3-015,grammar,present perfect,hard,33.223,4,0,0,20,2025-03-18T09:56:00,modal-verb conjugation error,0,0.4595
L001,Q-REA-2-075,reading,instructions,medium,38.098,1,1,0,20,2025-03-17T16:43:00,,0,0.4619
L001,Q-REA-3-009,reading,dialogue,hard,33.13,4,0,1,20,2025-03-18T16:49:00,instruction parsing error,0,0.4643
L001,Q-GRA-2-054,grammar,verb position,medium,21.104,1,1,0,20,2025-03-16T12:28:00,,0,0.4667
L001,Q-REA-3-043,reading,dialogue,hard,51.394,2,0,1,20,2025-03-17T17:11:00,main-idea misinterpretation,0,0.469
L001,Q-LIS-4-037,listening,chapter audio,advanced,51.838,2,1,0,20,2025-03-17T17:20:00,,0,0.4714
L001,Q-LIS-2-008,listening,dictation,medium,52.509,2,1,0,21,2025-03-19T14:00:00,,0,0.4738
L001,Q-REA-2-057,reading,short passage,medium,40.012,4,0,1,21,2025-03-19T11:37:00,main-idea misinterpretation,0,0.4762
L001,Q-REA-3-004,reading,instructions,hard,67.422,2,0,0,21,2025-03-20T13:22:00,main-idea misinterpretation,0,0.4786
L001,Q-REA-1-072,reading,detail retrieval,easy,45.166,1,1,0,21,2025-03-21T09:54:00,,0,0.481
L001,Q-GRA-2-003,grammar,verb position,medium,45.767,1,1,0,21,2025-03-19T12:37:00,,0,0.4833
L001,Q-VOC-2-046,vocabulary,false friends,medium,29.638,1,1,0,21,2025-03-20T10:53:00,,0,0.4857
L001,Q-GRA-3-056,grammar,present perfect,hard,53.84,1,1,0,21,2025-03-21T09:37:00,,0,0.4881
L001,Q-REA-2-067,reading,detail retrieval,medium,40.153,1,1,0,21,2025-03-20T11:33:00,,0,0.4905
L001,Q-GRA-3-046,grammar,present perfect,hard,41.573,1,1,0,21,2025-03-20T16:28:00,,0,0.4929
L001,Q-LIS-3-022,listening,slow dialogue,hard,54.396,1,1,0,21,2025-03-20T16:47:00,,0,0.4952
L001,Q-VOC-1-037,vocabulary,daily verbs,easy,15.644,1,1,0,22,2025-03-23T15:14:00,,0,0.4976
L001,Q-GRA-3-015,grammar,present perfect,advanced,62.156,2,0,0,22,2025-03-23T15:48:00,case-marking error,1,0.5
L001,Q-GRA-4-016,grammar,modal verbs,advanced,40.649,3,0,1,22,2025-03-25T17:01:00,case-marking error,0,0.5024
L001,Q-REA-2-055,reading,short passage,medium,77.97,2,0,0,22,2025-03-23T11:07:00,instruction parsing error,0,0.5048
L001,Q-LIS-1-055,listening,numbers,advanced,42.489,5,0,0,22,2025-03-23T14:41:00,dialogue detail omission,1,0.5071
L001,Q-VOC-3-029,vocabulary,false friends,advanced,15.817,3,0,1,22,2025-03-23T13:51:00,false-friend translation error,1,0.5095
L001,Q-GRA-4-053,grammar,present perfect,advanced,48.263,1,0,1,22,2025-03-23T14:27:00,verb-position error,0,0.5119
L001,Q-REA-2-055,reading,instructions,medium,34.409,2,1,0,22,2025-03-23T15:32:00,,0,0.5143
L001,Q-LIS-2-027,listening,slow dialogue,medium,45.927,1,1,0,22,2025-03-23T09:27:00,,0,0.5167
L001,Q-LIS-2-019,listening,numbers,medium,41.715,1,0,0,22,2025-03-23T16:13:00,dialogue detail omission,0,0.519
L001,Q-VOC-3-005,vocabulary,separable verbs,hard,28.986,2,0,0,22,2025-03-24T16:22:00,false-friend translation error,0,0.5214
L001,Q-REA-3-023,reading,instructions,hard,57.227,2,0,1,22,2025-03-22T13:09:00,detail retrieval error,0,0.5238
