learner_id,engine,target_skill,recommended_difficulty,targeted_exercise_type,review_content,next_learning_path_step,decision_evidence
L052,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.39; improvement_velocity=0.002
L053,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.57; improvement_velocity=-0.004
L054,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.64; improvement_velocity=-0.003
L055,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.60; improvement_velocity=0.002
L056,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.56; improvement_velocity=0.002
L057,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.37; improvement_velocity=-0.003
L058,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.47; improvement_velocity=-0.008
L059,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.33; improvement_velocity=-0.004
L060,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.53; improvement_velocity=-0.007
L061,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.56; improvement_velocity=0.002
L062,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=listening_weakness; adaptive_risk=0.46; improvement_velocity=-0.005
L063,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.57; improvement_velocity=-0.004
L064,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.61; improvement_velocity=-0.005
L065,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=listening_weakness; adaptive_risk=0.49; improvement_velocity=-0.014
L066,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.33; improvement_velocity=-0.009
L067,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.46; improvement_velocity=-0.000
L068,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=grammar_weakness; adaptive_risk=0.46; improvement_velocity=0.001
L069,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.57; improvement_velocity=-0.001
L070,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.40; improvement_velocity=-0.000
L071,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.66; improvement_velocity=-0.006
L072,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.58; improvement_velocity=-0.001
L073,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.57; improvement_velocity=0.000
L074,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.56; improvement_velocity=0.002
L075,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.36; improvement_velocity=-0.001
L076,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.62; improvement_velocity=-0.001
L077,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.64; improvement_velocity=-0.004
L078,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=reading_weakness; adaptive_risk=0.46; improvement_velocity=-0.004
L079,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.59; improvement_velocity=0.003
L080,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.63; improvement_velocity=-0.003
L081,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.65; improvement_velocity=-0.006
L082,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=listening_weakness; adaptive_risk=0.32; improvement_velocity=-0.000
L083,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.63; improvement_velocity=-0.000
L084,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.59; improvement_velocity=-0.004
L085,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.65; improvement_velocity=-0.001
L086,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.58; improvement_velocity=-0.004
L087,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.53; improvement_velocity=-0.007
L088,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=reading_weakness; adaptive_risk=0.42; improvement_velocity=-0.000
L089,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.65; improvement_velocity=-0.003
L090,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.41; improvement_velocity=0.003
L091,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.44; improvement_velocity=-0.000
L092,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.59; improvement_velocity=-0.000
L093,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.38; improvement_velocity=-0.005
L094,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.53; improvement_velocity=-0.001
L095,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.56; improvement_velocity=-0.000
L096,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=listening_weakness; adaptive_risk=0.36; improvement_velocity=-0.001
L097,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.57; improvement_velocity=0.005
L098,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.59; improvement_velocity=-0.004
L099,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.62; improvement_velocity=-0.004
L100,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=listening_weakness; adaptive_risk=0.49; improvement_velocity=-0.004
