learner_id,engine,target_skill,recommended_difficulty,targeted_exercise_type,review_content,next_learning_path_step,decision_evidence
L052,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.44; vocabulary_error_rate=0.54; mastery_score=66.9
L053,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.64; vocabulary_error_rate=0.77; mastery_score=52.3
L054,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.75; grammar_error_rate=0.90; mastery_score=45.0
L055,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.69; grammar_error_rate=0.85; mastery_score=43.8
L056,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.65; listening_error_rate=0.85; mastery_score=50.7
L057,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.40; grammar_error_rate=0.54; mastery_score=68.8
L058,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.57; grammar_error_rate=0.60; mastery_score=50.1
L059,rule_based,reading,medium,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.29; reading_error_rate=0.35; mastery_score=70.8
L060,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.56; listening_error_rate=0.67; mastery_score=49.3
L061,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.64; grammar_error_rate=0.78; mastery_score=52.4
L062,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.41; listening_error_rate=0.55; mastery_score=63.0
L063,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.66; reading_error_rate=0.83; mastery_score=44.4
L064,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.72; vocabulary_error_rate=0.87; mastery_score=41.5
L065,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.52; listening_error_rate=0.63; mastery_score=45.2
L066,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.36; vocabulary_error_rate=0.44; mastery_score=63.6
L067,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.44; vocabulary_error_rate=0.59; mastery_score=66.1
L068,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.44; grammar_error_rate=0.61; mastery_score=67.1
L069,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.63; grammar_error_rate=0.70; mastery_score=41.1
L070,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.42; vocabulary_error_rate=0.59; mastery_score=63.9
L071,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.78; listening_error_rate=0.93; mastery_score=37.5
L072,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.65; vocabulary_error_rate=0.82; mastery_score=51.8
L073,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.66; reading_error_rate=0.80; mastery_score=49.2
L074,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.63; grammar_error_rate=0.79; mastery_score=50.3
L075,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.40; listening_error_rate=0.49; mastery_score=66.3
L076,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.69; vocabulary_error_rate=0.87; mastery_score=46.8
L077,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.76; vocabulary_error_rate=0.92; mastery_score=40.3
L078,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.51; reading_error_rate=0.57; mastery_score=57.2
L079,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.68; vocabulary_error_rate=0.87; mastery_score=49.3
L080,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.74; reading_error_rate=0.92; mastery_score=41.2
L081,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.76; vocabulary_error_rate=0.86; mastery_score=38.3
L082,rule_based,reading,medium,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.31; reading_error_rate=0.34; mastery_score=75.4
L083,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.76; vocabulary_error_rate=0.90; mastery_score=42.4
L084,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.70; vocabulary_error_rate=0.83; mastery_score=44.7
L085,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.77; vocabulary_error_rate=0.85; mastery_score=37.4
L086,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.68; reading_error_rate=0.87; mastery_score=43.4
L087,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.64; listening_error_rate=0.78; mastery_score=43.1
L088,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.44; listening_error_rate=0.47; mastery_score=67.6
L089,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.76; grammar_error_rate=0.88; mastery_score=39.0
L090,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.47; reading_error_rate=0.53; mastery_score=64.3
L091,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.45; vocabulary_error_rate=0.59; mastery_score=62.5
L092,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.67; listening_error_rate=0.83; mastery_score=45.3
L093,rule_based,vocabulary,medium,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.38; vocabulary_error_rate=0.40; mastery_score=66.9
L094,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.60; grammar_error_rate=0.73; mastery_score=51.1
L095,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.65; grammar_error_rate=0.80; mastery_score=49.5
L096,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.37; listening_error_rate=0.48; mastery_score=65.7
L097,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.63; reading_error_rate=0.81; mastery_score=55.2
L098,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.70; reading_error_rate=0.83; mastery_score=44.4
L099,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.73; reading_error_rate=0.87; mastery_score=42.4
L100,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.53; listening_error_rate=0.67; mastery_score=55.6
